recieved: 2024-02-18 22:20:27.934347 - Start!
2024-02-18 22:22:35.958645 - Motion detected!
2024-02-18 22:24:22.503239 - Start!
2024-02-19 09:16:23.100718 - Motion detected!
2024-02-19 09:17:20.510680 - Motion detected!
2024-02-19 09:18:05.780699 - Motion detected!
2024-02-19 09:19:30.005657 - Motion detected!
2024-02-19 09:21:03.261597 - Motion detected!
2024-02-19 09:27:16.271113 - Motion detected!
2024-02-19 09:32:02.190688 - Motion detected!
2024-02-19 09:33:08.375644 - Motion detected!
2024-02-19 09:34:05.539599 - Motion detected!
2024-02-19 09:36:54.004139 - Motion detected!
2024-02-19 09:37:03.040754 - Motion detected!
2024-02-19 09:40:09.545654 - Motion detected!
2024-02-19 09:41:06.702812 - Motion detected!
2024-02-19 09:42:12.881135 - Motion detected!
2024-02-19 09:43:13.059680 - Motion detected!
2024-02-19 09:44:07.215659 - Motion detected!
2024-02-19 09:48:22.985649 - Motion detected!
2024-02-19 09:50:41.374189 - Motion detected!
2024-02-19 09:51:02.440681 - Motion detected!
2024-02-19 09:52:26.665643 - Motion detected!
2024-02-19 09:53:59.935658 - Motion detected!
2024-02-19 09:54:02.960754 - Motion detected!
2024-02-19 09:55:00.114206 - Motion detected!
2024-02-19 09:56:15.334142 - Motion detected!
2024-02-19 09:57:00.455646 - Motion detected!
2024-02-19 09:58:09.641131 - Motion detected!
2024-02-19 09:59:00.779757 - Motion detected!
2024-02-19 10:00:22.015655 - Motion detected!
2024-02-19 10:01:01.122785 - Motion detected!
2024-02-19 10:02:01.282689 - Motion detected!
2024-02-19 10:03:07.479222 - Motion detected!
2024-02-19 10:04:01.660694 - Motion detected!
2024-02-19 10:05:01.840699 - Motion detected!
2024-02-19 10:06:02.020725 - Motion detected!
2024-02-19 10:07:50.334152 - Motion detected!
2024-02-19 10:08:05.389341 - Motion detected!
2024-02-19 10:09:02.555827 - Motion detected!
2024-02-19 10:10:02.730685 - Motion detected!
2024-02-19 10:11:02.900729 - Motion detected!
2024-02-19 10:12:03.079278 - Motion detected!
2024-02-19 10:13:00.234221 - Motion detected!
2024-02-19 10:14:12.429690 - Motion detected!
2024-02-19 10:15:30.646840 - Motion detected!
2024-02-19 10:16:15.784133 - Motion detected!
2024-02-19 10:17:09.931104 - Motion detected!
